company;playlist_sample;namesfiles;no;artist;song;sampleratefiles;totalsamplesfiles;durationfiles;bitratefiles;rmsfiles;rmsmedianfiles;lowenergyfiles;ASRfiles;beatspectrumfiles;eventdensityfiles;tempofiles;pulseclarityfiles;zerocrossfiles;rolloffsfiles;brightnessfiles;spreadfiles;centroidfiles;kurtosisfiles;flatnessfiles;entropyfiles;mfccfiles_1;mfccfiles_2;mfccfiles_3;mfccfiles_4;mfccfiles_5;mfccfiles_6;mfccfiles_7;mfccfiles_8;mfccfiles_9;mfccfiles_10;mfccfiles_11;mfccfiles_12;mfccfiles_13;pitchfiles;inharmonicityfiles;bestkeyfiles;keyclarityfiles;modalityfiles;tonalcentroidfiles_1;tonalcentroidfiles_2;tonalcentroidfiles_3;tonalcentroidfiles_4;tonalcentroidfiles_5;tonalcentroidfiles_6;chromagramfiles_1;chromagramfiles_2;chromagramfiles_3;chromagramfiles_4;chromagramfiles_5;chromagramfiles_6;chromagramfiles_7;chromagramfiles_8;chromagramfiles_9;chromagramfiles_10;chromagramfiles_11;chromagramfiles_12;attackslopefiles;attackleapfiles
Specialized;3;16 - Nevada - The Mack.mp3                                                                                                                    ;16; Nevada ; The Mack.mp3                                                                                                                    ;44100;7370491;167.1313125;128;0.21149998;0.103122041;0.739348371;0.478696742;0.059843871;1.9;52.98878466;0.42638783;1851.795801;7265.521431;0.509097404;3320.704593;3049.452606;3.130454373;0.032346836;0.887186063;2.0492168;-0.160329054;0.00299398;0.167841605;-0.169941958;0.006500938;-0.211928546;0.167086028;0.030707172;0.044500443;0.065336853;0.062275969;0.143976211;0;0.465656735;1;0.762920174;0.073906571;1.062816431;0.604716971;0.040303859;1.130688675;0.092790007;0.155421651;0.999999912;0.292954284;0.493618765;0.131960303;0.607863528;0.078514358;0.093694259;0.416381256;0.372102437;0.557207403;0.261964179;0.420638345;16.39374569;0.168304307
Specialized;3;17 - Bakermat - Dont Want You Back.mp3                                                                                                        ;17; Bakermat ; Dont Want You Back.mp3                                                                                                        ;44100;8879028;201.3385;128;0.120329378;0.068514057;0.481203008;0.323308271;0.033143673;4.5;125.8084148;0.189878855;1865.745769;7929.602051;0.650909363;3365.421063;3681.029714;2.780152145;0.038810161;0.908584749;1.655618886;-0.219395677;0.370771602;0.234005924;0.205821046;-0.168087725;0.481692101;-0.135786689;-0.420557825;-0.01110944;-0.111086184;-0.022568889;-0.050938288;0;0.484344022;7;0.670039756;0.048053098;-0.994997702;-0.209026976;-0.211360362;-1.556001642;0.211193573;-0.173706344;0.016970112;0.217429663;0.200599334;0.043392561;0.010066993;0.191624032;0.564615119;0.000174549;0.182175559;0.011415246;0.999999854;0.16554147;14.37861986;0.711550346
Specialized;3;17 - Bakermat - Dont Want You Back.mp3                                                                                                        ;17; Bakermat ; Dont Want You Back.mp3                                                                                                        ;44100;8879028;201.3385;128;0.166186465;0.08697775;0.543859649;0.418546366;0.030711974;2.3;126.0326517;0.748130572;941.1478659;7340.887642;0.461865837;3290.582192;2833.45404;3.581563874;0.027199366;0.877104625;2.623998853;-0.576676248;-0.013928332;0.16733365;0.044372942;-0.181278966;0.143335091;-0.067307274;0.053250376;0.401494959;-0.247816456;0.124762392;-0.1297593;0;0.46843415;7;0.574811025;0.093354237;-0.247921467;-0.363294697;0.17386751;-1.195336347;0.017721535;0.26275967;0.311992915;0.296028681;0.399109068;0.305521144;0.115920071;0.287060627;0.99999983;0.450120271;0.384046385;0.357798226;0.608186819;0.359113628;15.07581378;0.363563758
Specialized;3;17 - Bakermat - Dont Want You Back.mp3                                                                                                        ;17; Bakermat ; Dont Want You Back.mp3                                                                                                        ;44100;8879028;201.3385;128;0.08186895;0.043214209;0.609022556;0.343358396;0;4.1;126.3926846;0.401898435;680.5984567;6896.933556;0.441401941;3272.998525;2783.543449;3.457570481;0.034099814;0.866141648;2.460916479;1.086445755;0.823897267;-0.097480223;-0.142766028;-0.012898116;0.107766729;0.034296077;0.021804399;0.142020244;-0.158374063;0.073626167;0.014813366;0;0.458034533;7;0.57726048;0.002305301;-0.176350869;-0.840150885;-0.09768222;-1.356598203;-0.203414205;0.250821447;0.004559828;0.09404929;0.278226393;0.061355982;0.01714941;0.23383269;0.999999744;0;0.11825229;0.000142128;0.218333596;0.168985907;13.81625888;0.188364255
Specialized;3;18 - Sigala - Give Me Your Love (Radio Edit).mp3                                                                                              ;18; Sigala ; Give Me Your Love (Radio Edit).mp3                                                                                              ;44100;9220604;209.084;128;0.186600928;0.127811521;0.486215539;0.115288221;0.086965691;3.6;124.9798556;0.782420627;1784.795953;7339.962387;0.634993868;3242.321919;3428.282894;3.209981053;0.036902002;0.90757158;1.328959577;-0.278454136;0.431428846;-0.268154156;-0.104175037;-0.10794629;-0.039388502;0.19483713;0.15012705;0.124867672;0.048827578;0.057673458;-0.080441741;0;0.475907801;8;0.738373076;0.01661269;1.873155684;-0.352688708;0.480406836;0.350134592;0.01900318;-0.039697551;0.377958389;0.212310645;0.542485743;0.229394539;0.826239219;0.232829712;0.477201884;0.821214372;0.491753193;0.999999921;0.326128582;0.874938204;26.68576097;0.690539278
Specialized;3;18 - Sigala - Give Me Your Love (Radio Edit).mp3                                                                                              ;18; Sigala ; Give Me Your Love (Radio Edit).mp3                                                                                              ;44100;9220604;209.084;128;0.195305349;0.131717891;0.523809524;0.127819549;0.093380041;3.9;125.0543181;0.86449819;1678.296194;7247.941589;0.61785213;3231.250918;3405.851566;3.173696471;0.032810522;0.902457575;1.243711039;-0.395182192;0.208606046;-0.044977206;0.079562044;0.22193182;-0.058822885;-0.044650435;0.147534431;0.20673929;-0.03993107;0.082658476;-0.072638404;0;0.479870487;10;0.738755821;-0.061787911;2.057346307;-0.287579699;0.388421953;0.56949106;-0.041723051;-0.112344472;0.376543975;0.179796236;0.58273601;0.191396085;0.850465493;0.137873845;0.181345326;0.607625825;0.39447198;0.999999905;0.287909053;0.907070029;26.72183685;0.304110798
Specialized;3;18 - Sigala - Give Me Your Love (Radio Edit).mp3                                                                                              ;18; Sigala ; Give Me Your Love (Radio Edit).mp3                                                                                              ;44100;9220604;209.084;128;0.139249019;0.057557911;0.513784461;0.421052632;0;2.2;125.0109071;0.912262994;1575.196428;6853.698921;0.610875259;3142.272803;3219.895297;3.590904383;0.025256005;0.885600087;1.307707313;-0.604425448;0.423871755;-0.162073426;0.06538646;0.265132229;-0.145486105;-0.129162098;0.145964908;0.29890841;0.613648133;0.206159162;-0.046138973;0;0.46866261;10;0.640971022;-0.035305926;1.473959755;-0.32138183;-0.101634465;0.466752102;0.121872975;-0.254253827;0.192976116;0.226617815;0.637704183;0.189459726;0.999999874;0.150853344;0.157057403;0.303477342;0.335816957;0.608646602;0.267279259;0.391546228;42.42418692;0.957482919
Specialized;3;19 - Boyce Avenue _ Milkman - I ll Be the One.mp3                                                                                             ;19; Boyce Avenue _ Milkman ; I ll Be the One.mp3                                                                                             ;44100;9786804;221.923;128;0.253207117;0.157780692;0.694235589;0.258145363;0.048935347;2.5;124.8840671;0.889410708;814.5981528;8685.030556;0.471843107;3786.614085;3295.281641;2.440030293;0.029472257;0.872317632;2.39862997;0.420122445;0.408524534;0.162625355;-0.076988625;0.476413446;0.150121792;-0.019350145;0.150836478;0.128376683;0.208821198;0.161297805;0.147988667;0;0.482355015;5;0.602215876;0.017447403;0.118847293;-1.48444176;-0.185660938;0.554573588;0.060463789;0.128691495;0.222477809;0.445849256;0.195696997;0.28792319;0.720401806;0.179542842;0.913807925;0.430039283;0.99999984;0.638447786;0.278800945;0.360216472;24.24751901;0.690093781
Specialized;3;19 - Boyce Avenue _ Milkman - I ll Be the One.mp3                                                                                             ;19; Boyce Avenue _ Milkman ; I ll Be the One.mp3                                                                                             ;44100;9786804;221.923;128;0.199751196;0.127658918;0.556390977;0.185463659;0.031592056;2.4;124.9004934;0.827923934;1460.096689;8211.552429;0.542018978;3548.425663;3381.594221;2.637531669;0.034533658;0.8931534;2.143573037;-0.072118504;0.379817517;0.503126893;-0.02045974;0.263320251;-0.190593993;0.27530794;0.189143323;0.148716153;0.127375195;0.130016266;0.197664247;0;0.480684322;5;0.828599363;0.168872387;0.896720536;-1.465005731;0.100515432;0.999110121;0.109999361;-0.258171812;0.241270561;0.562109007;0.16292565;0.313845946;0.999999887;0.217895718;0.248611747;0.238133194;0.483693173;0.667469991;0.314316104;0.996011008;9.423416653;0.214085887
Specialized;3;19 - Boyce Avenue _ Milkman - I ll Be the One.mp3                                                                                             ;19; Boyce Avenue _ Milkman ; I ll Be the One.mp3                                                                                             ;44100;9786804;221.923;128;0.257091036;0.171575055;0.516290727;0.120300752;0.031597583;3.5;125.0317874;0.824232491;1555.646472;8845.351982;0.600793242;3696.772895;3795.643703;2.186750997;0.024470623;0.899820659;1.819563173;0.122881504;0.58567321;0.543485197;-0.190633972;0.417885368;0.061525374;0.045577731;0.069591;0.061515349;0.135429841;0.104661233;0.197947393;0;0.482060374;5;0.753798832;0.112236705;-0.086855964;-1.366772495;0.476325395;1.105056701;-0.242906404;-0.326875825;0.242926385;0.593554475;0.168879528;0.420683381;0.49152128;0.118035273;0.089896888;0.27025606;0.903851958;0.503024172;0.274466506;0.999999874;13.48740362;0.329706923
